有價證券代號及名稱,類別,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
2724, 富驛-KY,股票 ,KYG3704Y1017,2012/5/29,上櫃,觀光事業,ESVUFR,
2726, 雅茗-KY,股票 ,KYG988361021,2014/12/24,上櫃,觀光事業,ESVUFR,
2729, 瓦城,股票 ,TW0002729001,2012/9/17,上櫃,觀光事業,ESVUFR,
2732, 六角,股票 ,TW0002732005,2015/1/20,上櫃,觀光事業,ESVUFR,
2734, 易飛網,股票 ,TW0002734001,2013/12/26,上櫃,觀光事業,ESVUFR,
2736, 高野,股票 ,TW0002736006,2016/1/6,上櫃,觀光事業,ESVUFR,
2740, 天蔥,股票 ,TW0002740008,2015/12/24,上櫃,觀光事業,ESVUFR,
2916, 滿心,股票 ,TW0002916004,2005/3/10,上櫃,貿易百貨業,ESVUFR,
2924, 東凌-KY,股票 ,KYG198691092,2011/12/2,上櫃,貿易百貨業,ESVUFR,
2926, 誠品生活,股票 ,TW0002926003,2013/1/30,上櫃,文化創意業,ESVUFR,
2928, 紅馬-KY,股票 ,KYG7448A1058,2016/1/27,上櫃,觀光事業,ESVUFR,
2937, 集雅社,股票 ,TW0002937000,2017/6/8,上櫃,貿易百貨業,ESVUFR,
3064, 泰偉,股票 ,TW0003064002,2004/6/9,上櫃,其他電子業,ESVUFR,
3066, 李洲,股票 ,TW0003066007,2004/12/2,上櫃,光電業,ESVUFR,
3067, 全域,股票 ,TW0003067005,2003/10/21,上櫃,其他電子業,ESVUFR,
3068, 美磊,股票 ,TW0003068003,2008/5/2,上櫃,通信網路業,ESVUFR,
3071, 協禧,股票 ,TW0003071007,2004/12/30,上櫃,電腦及週邊設備業,ESVUFR,
3073, 凱柏實業,股票 ,TW0003073003,2007/10/8,上櫃,半導體業,ESVUFR,
3078, 僑威,股票 ,TW0003078002,2005/1/31,上櫃,電子零組件業,ESVUFR,
3081, 聯亞,股票 ,TW0003081006,2015/7/22,上櫃,通信網路業,ESVUFR,
3083, 網龍,股票 ,TW0003083002,2003/12/2,上櫃,資訊服務業,ESVUFR,
3085, 新零售,股票 ,TW0003085007,2004/3/1,上櫃,資訊服務業,ESVUFR,
3086, 華義,股票 ,TW0003086005,2004/3/29,上櫃,文化創意業,ESVUFR,
3088, 艾訊,股票 ,TW0003088001,2005/4/28,上櫃,電腦及週邊設備業,ESVUFR,
3089, 遠昇,股票 ,TW0003089009,2003/10/14,上櫃,電子零組件業,ESVUFR,
3092, 鴻碩,股票 ,TW0003092003,2010/5/11,上櫃,電子零組件業,ESVUFR,
3093, 港建,股票 ,TW0003093001,2005/6/17,上櫃,其他電子業,ESVUFR,
3095, 及成,股票 ,TW0003095006,2005/5/26,上櫃,通信網路業,ESVUFR,
3105, 穩懋,股票 ,TW0003105003,2011/12/13,上櫃,半導體業,ESVUFR,
3114, 好德,股票 ,TW0003114005,2004/3/25,上櫃,電子零組件業,ESVUFR,
3115, 寶島極,股票 ,TW0003115002,2005/4/8,上櫃,電子零組件業,ESVUFR,
3118, 進階,股票 ,TW0003118006,2008/5/21,上櫃,生技醫療業,ESVUFR,
3122, 笙泉,股票 ,TW0003122008,2015/1/26,上櫃,半導體業,ESVUFR,
3128, 昇銳,股票 ,TW0003128005,2006/9/4,上櫃,光電業,ESVUFR,
3131, 弘塑,股票 ,TW0003131009,2011/1/17,上櫃,其他電子業,ESVUFR,
3141, 晶宏,股票 ,TW0003141008,2014/3/14,上櫃,半導體業,ESVUFR,
3144, 新揚科,股票 ,TW0003144002,2004/12/24,上櫃,電子零組件業,ESVUFR,
3152, 璟德,股票 ,TW0003152005,2008/3/24,上櫃,通信網路業,ESVUFR,
3162, 精確,股票 ,TW0003162004,2005/10/3,上櫃,電機機械,ESVUFR,
3163, 波若威,股票 ,TW0003163002,2012/12/3,上櫃,通信網路業,ESVUFR,
3169, 亞信,股票 ,TW0003169009,2009/11/24,上櫃,半導體業,ESVUFR,
3171, 新洲,股票 ,TW0003171005,2004/9/17,上櫃,貿易百貨業,ESVUFR,
3176, 基亞,股票 ,TW0003176004,2011/11/23,上櫃,生技醫療業,ESVUFR,
3188, 鑫龍騰,股票 ,TW0003188009,2004/3/17,上櫃,半導體業,ESVUFR,
3191, 和進,股票 ,TW0003191003,2005/4/12,上櫃,電子零組件業,ESVUFR,
3202, 樺晟,股票 ,TW0003202008,2005/7/26,上櫃,電子零組件業,ESVUFR,
3205, 佰研,股票 ,TW0003205001,2005/9/12,上櫃,生技醫療業,ESVUFR,
3206, 志豐,股票 ,TW0003206009,2007/2/8,上櫃,電子零組件業,ESVUFR,
3207, 耀勝,股票 ,TW0003207007,2004/11/4,上櫃,電子零組件業,ESVUFR,
3211, 順達,股票 ,TW0003211009,2004/11/8,上櫃,電腦及週邊設備業,ESVUFR,
3213, 茂訊,股票 ,TW0003213005,2004/10/1,上櫃,電腦及週邊設備業,ESVUFR,
3217, 優群,股票 ,TW0003217006,2004/4/30,上櫃,電子零組件業,ESVUFR,
3218, 大學光,股票 ,TW0003218004,2004/11/29,上櫃,生技醫療業,ESVUFR,
3219, 倚強,股票 ,TW0003219002,2004/3/19,上櫃,半導體業,ESVUFR,
3221, 台嘉碩,股票 ,TW0003221008,2006/2/22,上櫃,通信網路業,ESVUFR,
3224, 三顧,股票 ,TW0003224002,2004/6/3,上櫃,電子通路業,ESVUFR,
3226, 至寶電,股票 ,TW0003226007,2004/6/16,上櫃,電機機械,ESVUFR,
3227, 原相,股票 ,TW0003227005,2006/5/4,上櫃,半導體業,ESVUFR,
3228, 金麗科,股票 ,TW0003228003,2005/3/2,上櫃,半導體業,ESVUFR,
3230, 錦明,股票 ,TW0003230009,2006/9/25,上櫃,光電業,ESVUFR,
3232, 昱捷,股票 ,TW0003232005,2004/11/1,上櫃,電子通路業,ESVUFR,
3234, 光環,股票 ,TW0003234001,2011/3/24,上櫃,通信網路業,ESVUFR,
3236, 千如,股票 ,TW0003236006,2004/12/2,上櫃,電子零組件業,ESVUFR,
3252, 海灣,股票 ,TW0003252003,2004/9/23,上櫃,其他業,ESVUFR,
3259, 鑫創,股票 ,TW0003259008,2007/12/24,上櫃,半導體業,ESVUFR,
3260, 威剛,股票 ,TW0003260006,2004/10/8,上櫃,半導體業,ESVUFR,
3264, 欣銓,股票 ,TW0003264008,2005/1/5,上櫃,半導體業,ESVUFR,
3265, 台星科,股票 ,TW0003265005,2005/8/2,上櫃,半導體業,ESVUFR,
3268, 海德威,股票 ,TW0003268009,2005/1/27,上櫃,半導體業,ESVUFR,
3272, 東碩,股票 ,TW0003272001,2014/8/26,上櫃,電腦及週邊設備業,ESVUFR,
3276, 宇環,股票 ,TW0003276002,2005/1/12,上櫃,電子零組件業,ESVUFR,
3284, 太普高,股票 ,TW0003284006,2005/3/22,上櫃,其他業,ESVUFR,
3285, 微端,股票 ,TW0003285003,2012/7/23,上櫃,其他電子業,ESVUFR,
3287, 廣寰科,股票 ,TW0003287009,2008/1/28,上櫃,電腦及週邊設備業,ESVUFR,
3288, 點晶,股票 ,TW0003288007,2005/4/15,上櫃,電子零組件業,ESVUFR,
3289, 宜特,股票 ,TW0003289005,2004/12/28,上櫃,其他電子業,ESVUFR,
3290, 東浦,股票 ,TW0003290003,2005/5/19,上櫃,通信網路業,ESVUFR,
3293, 鈊象,股票 ,TW0003293007,2006/7/12,上櫃,資訊服務業,ESVUFR,
3294, 英濟,股票 ,TW0003294005,2007/4/27,上櫃,電子零組件業,ESVUFR,
