symbol,abbreviation,year_month_day,open_price,high_price,low_price,close_price,volume_1000_shares,value_1000_dollars,simple_roi_%,turnover_ratio_%,market_value_million_dollars,continuous_roi_%
1303,南亞         ,20000104,72.5,73.5,71.5,73.5,62404,4555235,6.5217,1.3552,338450,6.3179
1303,南亞         ,20000105,72,74,72,73,45752,3323463,-0.6803,0.9936,336148,-0.6826
1303,南亞         ,20000106,73,75.5,72,73,45398,3354425,0,0.9859,336148,0
1303,南亞         ,20000107,73,74,72,73,29670,2164522,0,0.6443,336148,0
1303,南亞         ,20000110,73.5,78,73.5,78,48770,3672950,6.8493,1.0591,359172,6.6249
1303,南亞         ,20000111,79.5,79.5,74,74,55304,4240110,-5.1282,1.201,340753,-5.2644
1303,南亞         ,20000112,74.5,75.5,74,75,24094,1802337,1.3514,0.5232,345358,1.3423
1303,南亞         ,20000113,76,76,73,73,30278,2252324,-2.6667,0.6575,336148,-2.7029
1303,南亞         ,20000114,73.5,74,72,72.5,24719,1801842,-0.6849,0.5368,333846,-0.6873
1303,南亞         ,20000115,73.5,74.5,73,73.5,18411,1358732,1.3793,0.3998,338450,1.3699
1303,南亞         ,20000117,74.5,76,74,75,23776,1787029,2.0408,0.5163,345358,2.0203
1303,南亞         ,20000118,75,75,73,73.5,21812,1609068,-2,0.4737,338450,-2.0203
1303,南亞         ,20000119,73.5,74,73,73.5,20308,1489875,0,0.441,338450,0
1303,南亞         ,20000120,73.5,73.5,72,73,13397,975169,-0.6803,0.2909,336148,-0.6826
1303,南亞         ,20000121,73,75,73,73,29629,2188399,0,0.6434,336148,0
1303,南亞         ,20000124,74,74.5,73,73.5,23933,1763257,0.6849,0.5197,338450,0.6826
1303,南亞         ,20000125,73.5,73.5,72,72,20577,1497087,-2.0408,0.4469,331543,-2.0619
1303,南亞         ,20000126,72.5,73.5,72.5,72.5,20225,1472631,0.6944,0.4392,333846,0.692
1303,南亞         ,20000127,73,74.5,72.5,73,28335,2080258,0.6897,0.6153,336148,0.6873
1303,南亞         ,20000128,74,75,73.5,74,33562,2491710,1.3699,0.7289,340753,1.3606
1303,南亞         ,20000129,74,74,72.5,73,15868,1157750,-1.3514,0.3446,336148,-1.3606
1303,南亞         ,20000131,73,74.5,72.5,74,18026,1328177,1.3699,0.3915,340753,1.3606
1303,南亞         ,20000201,75,75,73.5,74,18829,1395683,0,0.4089,340753,0
1303,南亞         ,20000209,75.5,76,74,75,37084,2789130,1.3514,0.8053,345358,1.3423
1303,南亞         ,20000210,75,75.5,73.5,74,17995,1337824,-1.3333,0.3908,340753,-1.3423
1303,南亞         ,20000211,75,76,74,74,29958,2246349,0,0.6506,340753,0
1303,南亞         ,20000214,74.5,75.5,73.5,74.5,25772,1923506,0.6757,0.5597,343055,0.6734
1303,南亞         ,20000215,74.5,75,73,73.5,10574,779475,-1.3423,0.2296,338450,-1.3514
