symbol,abbreviation,year_month_day,open_price,high_price,low_price,close_price,volume_1000_shares,value_1000_dollars,simple_roi_%,turnover_ratio_%,market_value_million_dollars,continuous_roi_%
2325,矽品         ,20000104,81.5,81.5,77.5,77.5,38022,3043874,-3.125,3.3735,87349,-3.1749
2325,矽品         ,20000105,76,78,75.5,77.5,30946,2362871,0,2.7456,87349,0
2325,矽品         ,20000106,77.5,81,76,77.5,45775,3613765,0,4.0613,87349,0
2325,矽品         ,20000107,76,76.5,74,75,19221,1441556,-3.2258,1.7054,84531,-3.279
2325,矽品         ,20000110,75,77.5,74,76.5,21422,1636430,2,1.9006,86222,1.9803
2325,矽品         ,20000111,78.5,78.5,72.5,73,20051,1525145,-4.5752,1.779,82277,-4.6831
2325,矽品         ,20000112,73.5,78,73.5,78,25740,1959199,6.8493,2.2838,87913,6.6249
2325,矽品         ,20000113,79,79,76,76,27779,2165407,-2.5641,2.4647,85658,-2.5975
2325,矽品         ,20000114,77.5,78,74.5,75.5,16889,1290516,-0.6579,1.4985,85095,-0.6601
2325,矽品         ,20000115,77,78.5,76,78,18711,1455907,3.3113,1.6601,87913,3.2576
2325,矽品         ,20000117,79,81,77.5,78,25041,1992902,0,2.2217,87913,0
2325,矽品         ,20000118,78,78.5,76,77,14305,1103344,-1.2821,1.2692,86786,-1.2903
2325,矽品         ,20000119,77.5,78,75,75,14845,1132411,-2.5974,1.3171,84531,-2.6317
2325,矽品         ,20000120,75,75.5,73,74.5,8418,624851,-0.6667,0.7469,83968,-0.6689
2325,矽品         ,20000121,75,77,75,75.5,9002,684008,1.3423,0.7987,85095,1.3334
2325,矽品         ,20000124,76,77,75.5,76,7392,564522,0.6623,0.6558,85658,0.6601
2325,矽品         ,20000125,76,76,74.5,75,5055,380192,-1.3158,0.4485,84531,-1.3245
2325,矽品         ,20000126,76.5,78.5,76.5,77.5,24539,1902484,3.3333,2.1772,87349,3.279
2325,矽品         ,20000127,78.5,80,76.5,76.5,20464,1604785,-1.2903,1.8156,86222,-1.2987
2325,矽品         ,20000128,77,77,75,76,10658,808520,-0.6536,0.9456,85658,-0.6557
2325,矽品         ,20000129,75,76.5,75,76,6377,483669,0,0.5658,85658,0
2325,矽品         ,20000131,73.5,77.5,73.5,77,12934,976368,1.3158,1.1476,86786,1.3072
2325,矽品         ,20000201,78.5,78.5,77,77,9079,702457,0,0.8055,86786,0
2325,矽品         ,20000209,78.5,78.5,74,75.5,21242,1629907,-1.9481,1.8847,85095,-1.9673
2325,矽品         ,20000210,75,75.5,73.5,73.5,19342,1435061,-2.649,1.7161,82841,-2.6847
2325,矽品         ,20000211,73.5,74.5,72,72,19248,1398872,-2.0408,1.7078,81150,-2.0619
2325,矽品         ,20000214,72,72,70,70.5,9995,705523,-2.0833,0.8868,79459,-2.1053
2325,矽品         ,20000215,71,72,70.5,72,9173,654976,2.1277,0.8139,81150,2.1053
2325,矽品         ,20000216,72.5,73,70.5,71,8881,634633,-1.3889,0.788,80023,-1.3986
2325,矽品         ,20000217,71,74,71,72.5,14452,1053784,2.1127,1.2822,81714,2.0907
2325,矽品         ,20000218,74,74,71.5,72,7789,568052,-0.6897,0.6911,81150,-0.692
2325,矽品         ,20000219,72,73,71,72,5046,363040,0,0.4477,81150,0
2325,矽品         ,20000221,72,72.5,68,68.5,7194,504776,-4.8611,0.6383,77205,-4.9832
2325,矽品         ,20000222,68,70,67.5,69.5,7310,502560,1.4599,0.6486,78332,1.4493
2325,矽品         ,20000223,69.5,70,66.5,66.5,7932,540530,-4.3165,0.7038,74951,-4.4125
2325,矽品         ,20000224,67,68,66,67,7389,493135,0.7519,0.6556,75515,0.7491
2325,矽品         ,20000225,67.5,68,65,65,7680,508461,-2.9851,0.6814,73260,-3.0305
2325,矽品         ,20000229,66,67,64,64,10092,661578,-1.5385,0.8954,72133,-1.5504
2325,矽品         ,20000301,65.5,68,65.5,67.5,14415,968633,5.4688,1.279,76078,5.3245
