symbol,abbreviation,year_month_day,open_price,high_price,low_price,close_price,volume_1000_shares,value_1000_dollars,simple_roi_%,turnover_ratio_%,market_value_million_dollars,continuous_roi_%
2301,光寶科       ,20000104,34.3,35.4,33.8,34.2,24085,835701,1.7857,4.8807,16876,1.77
2301,光寶科       ,20000105,33.8,36.5,33.8,36.5,36425,1292019,6.7251,7.3813,18011,6.5087
2301,光寶科       ,20000106,37.8,38.5,36.8,37.2,40023,1505282,1.9178,8.1104,18357,1.8997
2301,光寶科       ,20000107,37.1,37.5,35.8,37.4,16090,589480,0.5376,3.2605,18456,0.5362
2301,光寶科       ,20000110,38.1,39,37.4,37.4,28435,1087376,0,5.7622,18456,0
2301,光寶科       ,20000111,37.7,38.3,34.8,35.2,22923,847253,-5.8824,4.6452,17370,-6.0625
2301,光寶科       ,20000112,35.5,36.5,35,36.2,14495,521110,2.8409,2.9373,17863,2.8013
2301,光寶科       ,20000113,36.2,38.2,36.2,37,31060,1160133,2.2099,6.2941,18258,2.1859
2301,光寶科       ,20000114,37.8,38.3,35.5,36.6,21934,814399,-1.0811,4.4448,18061,-1.087
2301,光寶科       ,20000115,36.9,37.3,36.1,36.6,8816,322326,0,1.7865,18061,0
2301,光寶科       ,20000117,37,38.5,36.8,37.8,26618,1008957,3.2787,5.394,18653,3.2261
2301,光寶科       ,20000118,38.4,39.1,37.8,38.7,27144,1046438,2.381,5.5006,19097,2.353
2301,光寶科       ,20000119,39,39.6,37,37,26021,1009423,-4.3928,5.273,18258,-4.4922
2301,光寶科       ,20000120,36.6,37.2,36.1,36.7,8048,294915,-0.8108,1.6309,18110,-0.8141
2301,光寶科       ,20000121,37,37.9,36.9,37.7,14234,533270,2.7248,2.8844,18604,2.6883
2301,光寶科       ,20000124,38.3,38.5,37.1,37.5,10406,393545,-0.5305,2.1087,18505,-0.5319
2301,光寶科       ,20000125,37.2,39,37.2,39,25913,993160,4,5.2511,19245,3.9221
2301,光寶科       ,20000126,39.5,39.5,38.1,38.3,15586,603082,-1.7949,3.1584,18900,-1.8112
2301,光寶科       ,20000127,38.3,38.8,37.3,37.6,8026,303800,-1.8277,1.6264,18554,-1.8446
2301,光寶科       ,20000128,38,38,36.7,37,6366,238253,-1.5957,1.29,18258,-1.6086
2301,光寶科       ,20000129,36.5,37.3,36.4,36.5,6405,234863,-1.3514,1.2979,18011,-1.3606
2301,光寶科       ,20000131,36.5,36.9,36.1,36.3,7493,273457,-0.5479,1.5184,17913,-0.5495
2301,光寶科       ,20000201,36.8,36.8,36.2,36.6,8176,298751,0.8264,1.6568,18061,0.823
2301,光寶科       ,20000209,37.5,37.5,36.9,37,5692,211727,1.0929,1.1534,18258,1.087
2301,光寶科       ,20000210,37.1,37.5,36.3,36.5,5824,213265,-1.3514,1.1802,18011,-1.3606
2301,光寶科       ,20000211,36.4,37.9,36.4,37.3,14338,535277,2.1918,2.9055,18406,2.1681
2301,光寶科       ,20000214,37.5,38.5,37.4,37.7,21886,830710,1.0724,4.4351,18604,1.0667
2301,光寶科       ,20000215,38,38.5,37.2,37.5,13653,518663,-0.5305,2.7667,18505,-0.5319
2301,光寶科       ,20000216,37.7,38.3,37.3,37.9,14113,536007,1.0667,2.8599,18702,1.061
2301,光寶科       ,20000217,38.5,40.5,38.5,40.5,33341,1332331,6.8602,6.7563,19985,6.6351
2301,光寶科       ,20000218,43.3,43.3,43.3,43.3,13274,574660,6.9136,2.6899,21367,6.6851
2301,光寶科       ,20000219,46.3,46.3,46.3,46.3,9834,455231,6.9284,1.9928,22847,6.6989
2301,光寶科       ,20000221,49.5,49.5,49.5,49.5,2453,121424,6.9114,0.4971,24427,6.6831
2301,光寶科       ,20000222,52.5,52.5,51.5,52.5,81082,4250049,6.0606,16.4308,25907,5.8841
2301,光寶科       ,20000223,55.5,56,53,56,71819,3957030,6.6667,14.5537,27634,6.4539
2301,光寶科       ,20000224,59.5,59.5,58.5,59.5,26666,1579524,6.25,5.4037,29361,6.0625
2301,光寶科       ,20000225,60.5,61,56,56.5,64463,3833638,-5.042,13.063,27881,-5.1736
2301,光寶科       ,20000229,56.5,58.5,54,57.5,31828,1783658,1.7699,6.4497,28374,1.7544
2301,光寶科       ,20000301,60,60,56.5,57,16945,986188,-0.8696,3.4338,28128,-0.8734
2301,光寶科       ,20000302,58,60.5,58,60.5,15885,950047,6.1404,3.219,29855,5.9592
2301,光寶科       ,20000303,62.5,64.5,61.5,61.5,43955,2770020,1.6529,8.9072,30348,1.6394
2301,光寶科       ,20000304,58,60.5,58,59,16667,987728,-4.065,3.3775,29115,-4.15
2301,光寶科       ,20000306,58.5,61,57,61,15749,943123,3.3898,3.1914,30102,3.3336
2301,光寶科       ,20000307,61.5,62,59,59,12954,778295,-3.2787,2.625,29115,-3.3336
2301,光寶科       ,20000308,59,61.5,59,60,16320,985439,1.6949,3.3071,29608,1.6807
2301,光寶科       ,20000309,61,62,60,61,14169,861442,1.6667,2.8713,30102,1.6529
2301,光寶科       ,20000310,62,65,62,65,39248,2516948,6.5574,7.9534,32076,6.3513
2301,光寶科       ,20000313,64,64,60.5,60.5,10371,642807,-6.9231,2.1016,29855,-7.1744
2301,光寶科       ,20000314,56.5,59,56.5,56.5,19899,1131259,-6.6116,4.0324,27881,-6.8403
2301,光寶科       ,20000315,54,56.5,53,53,12883,699017,-6.1947,2.6107,26154,-6.3949
2301,光寶科       ,20000316,50,51.5,49.3,50.5,13095,654077,-4.717,2.6536,24920,-4.8319
2301,光寶科       ,20000317,50,51,49,49.5,8941,447684,-1.9802,1.8118,24427,-2.0001
2301,光寶科       ,20000320,47.8,47.8,47.8,47.8,96,4610,-3.4343,0.0195,23588,-3.4947
2301,光寶科       ,20000321,46.2,51,46.2,51,8988,434924,6.6946,1.8214,25167,6.48
2301,光寶科       ,20000322,54.5,54.5,54.5,54.5,5825,317407,6.8627,1.1804,26894,6.6375
2301,光寶科       ,20000323,58,58,58,58,3190,184982,6.422,0.6464,28621,6.2242
2301,光寶科       ,20000324,62,62,61.5,62,24983,1548400,6.8966,5.0626,30595,6.6691
2301,光寶科       ,20000327,62,66,60.5,66,43166,2766874,6.4516,8.7473,32569,6.252
2301,光寶科       ,20000328,67,70.5,65,70,38707,2650426,6.0606,7.8437,34543,5.8841
2301,光寶科       ,20000329,68,70,67.5,68,19077,1310607,-2.8571,3.8658,33556,-2.8988
2301,光寶科       ,20000330,69,71,66,67.5,22003,1523271,-0.7353,4.4588,33309,-0.738
2301,光寶科       ,20000331,66.5,67.5,65,65.5,11921,786368,-2.963,2.4157,32322,-3.0077
2301,光寶科       ,20000401,67,70,66,70,14693,1012753,6.8702,2.9774,34543,6.6445
2301,光寶科       ,20000405,71.5,74.5,71.5,74.5,26912,1992253,6.4286,5.4535,36764,6.2304
2301,光寶科       ,20000406,78.5,79,75,76,34379,2652262,2.0134,6.9667,37504,1.9934
2301,光寶科       ,20000407,78,79,75.5,77.5,20847,1611589,1.9737,4.2245,38244,1.9545
2301,光寶科       ,20000408,79,82.5,79,82.5,27176,2217347,6.4516,5.507,40711,6.252
2301,光寶科       ,20000410,85,88,82,82.5,33820,2865597,0,6.8534,40711,0
2301,光寶科       ,20000411,84,88,83,86.5,38233,3298599,4.8485,7.7477,42685,4.7346
2301,光寶科       ,20000412,85,85,80.5,81.5,17772,1469332,-5.7803,3.6014,40218,-5.9541
2301,光寶科       ,20000413,77,81,76,81,15643,1214045,-0.6135,3.17,39971,-0.6154
2301,光寶科       ,20000414,79.5,82.5,75.5,75.5,15494,1221878,-6.7901,3.1398,37257,-7.0316
2301,光寶科       ,20000415,70.5,71.5,70.5,70.5,8711,614604,-6.6225,1.7652,34790,-6.852
2301,光寶科       ,20000417,72.5,73,68,72,14128,1001530,2.1277,2.863,35530,2.1053
2301,光寶科       ,20000418,76,77,74,77,11032,844458,6.9444,2.2356,37997,6.7139
2301,光寶科       ,20000419,79,81.5,77,78.5,26555,2106244,1.9481,5.3812,38737,1.9293
2301,光寶科       ,20000420,78.5,79,73.5,76,10243,778649,-3.1847,2.0757,37504,-3.2365
2301,光寶科       ,20000421,76.5,80,76.5,78,11290,888575,2.6316,2.2878,38491,2.5975
2301,光寶科       ,20000424,78.5,78.5,73,73,8399,621649,-6.4103,1.702,36023,-6.6249
2301,光寶科       ,20000425,68.5,70.5,68,69.5,14895,1019307,-4.7945,3.0184,34296,-4.9133
2301,光寶科       ,20000426,70,70.5,65,65,7872,529606,-6.4748,1.5952,32076,-6.6939
2301,光寶科       ,20000427,65,68,62,65,9657,635894,0,1.9569,32076,0
2301,光寶科       ,20000428,67.5,69.5,67,69.5,9664,661151,6.9231,1.9583,34296,6.6939
2301,光寶科       ,20000429,74,74,72,73,22688,1662748,5.036,4.5976,36023,4.9133
2301,光寶科       ,20000502,74,74.5,72,73.5,10690,782956,0.6849,2.1663,36270,0.6826
2301,光寶科       ,20000503,73,75.5,72.5,74,22641,1677107,0.6803,4.5881,36517,0.678
2301,光寶科       ,20000504,74,75,69,69,17049,1241924,-6.7568,3.4549,34049,-6.9959
2301,光寶科       ,20000505,67.5,73.5,67,73.5,13903,981771,6.5217,2.8174,36270,6.3179
2301,光寶科       ,20000506,74,77,73,74,23127,1735145,0.6803,4.6865,36517,0.678
2301,光寶科       ,20000508,74,75,71,71.5,9814,718617,-3.3784,1.9887,35283,-3.4368
2301,光寶科       ,20000509,71,74,71,73,8414,606553,2.0979,1.705,36023,2.0762
2301,光寶科       ,20000510,73,74,71,71,7522,546481,-2.7397,1.5243,35036,-2.778
2301,光寶科       ,20000511,68,69,67,68.5,8507,578198,-3.5211,1.7239,33803,-3.5846
2301,光寶科       ,20000512,70,70.5,67,67,10844,752026,-2.1898,2.1975,33062,-2.2141
2301,光寶科       ,20000515,67.5,68,65,65.5,7498,498258,-2.2388,1.5194,32322,-2.2642
2301,光寶科       ,20000516,66,70,65,70,13221,896589,6.8702,2.6792,34543,6.6445
2301,光寶科       ,20000517,72,74.5,72,72.5,16926,1238764,3.5714,3.4299,35777,3.5091
2301,光寶科       ,20000518,72,72.5,71,71,9497,680318,-2.069,1.9245,35036,-2.0907
2301,光寶科       ,20000519,70.5,73.5,70.5,72.5,9943,721159,2.1127,2.0149,35777,2.0907
2301,光寶科       ,20000520,72,73.5,67.5,68,9290,664571,-6.2069,1.8826,33556,-6.4079
2301,光寶科       ,20000522,70,71,69.5,70.5,6021,422184,3.6765,1.2201,34790,3.6105
2301,光寶科       ,20000523,70.5,70.5,68,69,5056,348068,-2.1277,1.0246,34049,-2.1506
2301,光寶科       ,20000524,66,69,66,67,3779,253855,-2.8986,0.7658,33062,-2.9414
2301,光寶科       ,20000525,69,69,65,65,6266,420858,-2.9851,1.2698,32076,-3.0305
2301,光寶科       ,20000526,65,67,64.5,67,5730,377644,3.0769,1.1611,33062,3.0305
2301,光寶科       ,20000529,67,69,66.5,66.5,5542,374743,-0.7463,1.1231,32816,-0.7491
2301,光寶科       ,20000530,67.5,68.5,67,68.5,6172,418993,3.0075,1.2507,33803,2.9632
2301,光寶科       ,20000531,71.5,72,70.5,71,11485,818437,3.6496,2.3274,35036,3.5846
2301,光寶科       ,20000601,72,74,71.5,72,19779,1443748,1.4085,4.0081,35530,1.3986
2301,光寶科       ,20000602,73,73.5,71.5,71.5,17262,1257979,-0.6944,3.498,35283,-0.6969
2301,光寶科       ,20000603,73,73,69,69.5,10810,763843,-2.7972,2.1906,34296,-2.8371
2301,光寶科       ,20000605,69.5,71,69,71,6973,489664,2.1583,1.413,35036,2.1353
2301,光寶科       ,20000607,71,73,70,72.5,10571,759428,2.1127,2.1421,35777,2.0907
2301,光寶科       ,20000608,73,75.5,71.5,71.5,21859,1620990,-1.3793,4.4296,35283,-1.3889
2301,光寶科       ,20000609,72,73.5,71,73,8627,623442,2.0979,1.7482,36023,2.0762
2301,光寶科       ,20000612,74,75,73,73.5,11420,845328,0.6849,2.3142,36270,0.6826
2301,光寶科       ,20000613,73,74.5,72.5,72.5,7332,538282,-1.3605,1.4858,35777,-1.3699
2301,光寶科       ,20000614,73,75.5,72,74.5,19185,1418763,2.7586,3.8877,36764,2.7213
2301,光寶科       ,20000615,74.5,75,72.5,73,6316,465047,-2.0134,1.2799,36023,-2.034
2301,光寶科       ,20000616,72.5,73,71.5,71.5,5750,415088,-2.0548,1.1652,35283,-2.0762
2301,光寶科       ,20000617,71.5,72,69,69.5,5723,402543,-2.7972,1.1597,34296,-2.8371
2301,光寶科       ,20000619,69.5,70,67,68.5,3777,258226,-1.4388,0.7654,33803,-1.4493
2301,光寶科       ,20000620,69.5,70,67,68,4044,276907,-0.7299,0.8195,33556,-0.7326
2301,光寶科       ,20000621,68,69.5,67.5,67.5,8222,565286,-0.7353,1.6661,33309,-0.738
2301,光寶科       ,20000622,67.5,71,67,70,8697,604243,3.7037,1.7624,34543,3.6368
2301,光寶科       ,20000623,70,70.5,68,68,5248,362960,-2.8571,1.0635,33556,-2.8988
2301,光寶科       ,20000626,68,68.5,67,67,3415,230725,-1.4706,0.692,33062,-1.4815
2301,光寶科       ,20000627,68,68,66,66.5,4688,312434,-0.7463,0.95,32816,-0.7491
2301,光寶科       ,20000628,66,67,63.5,65,3877,253199,-2.2556,0.7856,32076,-2.2815
2301,光寶科       ,20000629,65.5,66,60.5,62,4850,305978,-4.6154,0.9828,30595,-4.7253
2301,光寶科       ,20000630,62.5,64,60.5,63,5249,327185,1.6129,1.0637,31089,1.6
2301,光寶科       ,20000703,63,64,59,60,4031,247847,-4.7619,0.8169,29608,-4.879
2301,光寶科       ,20000704,60,60.5,56,56,4350,248858,-6.6667,0.8815,27634,-6.8993
2301,光寶科       ,20000705,56,59.5,54,59.5,7711,440179,6.25,1.5626,29361,6.0625
2301,光寶科       ,20000706,58,59.5,57.5,58.5,3356,196551,-1.6807,0.6801,28868,-1.695
2301,光寶科       ,20000707,59,59.5,56,56.5,3467,201759,-3.4188,0.7026,27881,-3.4786
2301,光寶科       ,20000710,56.5,56.5,53,56.5,4150,227651,0,0.841,27881,0
2301,光寶科       ,20000711,56.5,59,56.5,57.5,6280,364153,1.7699,1.2726,28374,1.7544
2301,光寶科       ,20000712,59,60.5,59,60,9485,565653,4.3478,1.9221,29608,4.256
2301,光寶科       ,20000713,61,63.5,60.5,63,10517,654510,5,2.1312,31089,4.879
2301,光寶科       ,20000714,64,64,62.5,64,8110,515674,1.5873,1.6434,31582,1.5748
2301,光寶科       ,20000715,64,64.5,63,63,5497,349817,-1.5625,1.1139,31089,-1.5748
2301,光寶科       ,20000717,63.5,66,63,66,8520,555258,4.7619,1.7265,32569,4.652
2301,光寶科       ,20000718,66,66,63.5,63.5,4238,274189,-3.7879,0.8588,31335,-3.8615
2301,光寶科       ,20000719,62.5,64,62,64,3014,189467,0.7874,0.6108,31582,0.7843
2301,光寶科       ,20000720,63.5,64.5,62,63,2984,189637,-1.5625,0.6047,31089,-1.5748
2301,光寶科       ,20000721,64,64.5,62,63,3041,192038,0,0.6162,31089,0
2301,光寶科       ,20000724,62,64,62,63.5,3129,198472,0.7937,0.6341,31335,0.7905
2301,光寶科       ,20000725,62.5,63.5,59.5,59.5,3588,218466,-6.2992,0.7271,29361,-6.5064
2301,光寶科       ,20000726,58.5,62.5,57,60,8402,504620,0.8403,1.7026,29608,0.8368
2301,光寶科       ,20000727,52.5,53,49,52,8777,453642,-0.3333,1.5325,29781,-0.3339
2301,光寶科       ,20000728,51,53,50.5,53,7537,393357,1.9231,1.316,30354,1.9048
2301,光寶科       ,20000729,52,52.5,50.5,52,3508,180314,-1.8868,0.6125,29781,-1.9048
2301,光寶科       ,20000731,52,52.5,51,52,4044,210328,0,0.7061,29781,0
2301,光寶科       ,20000801,52.5,53,51,51.5,2762,143275,-0.9615,0.4823,29495,-0.9662
2301,光寶科       ,20000802,51,52,50,51,1886,95943,-0.9709,0.3293,29208,-0.9756
2301,光寶科       ,20000803,51,52.5,50,52.5,4007,205324,2.9412,0.6996,30068,2.8988
2301,光寶科       ,20000804,53.5,54,52.5,53,6428,343576,0.9524,1.1224,30354,0.9479
2301,光寶科       ,20000805,53,53,51.5,52.5,2505,130612,-0.9434,0.4374,30068,-0.9479
2301,光寶科       ,20000807,52,52.5,51.5,52,2105,109467,-0.9524,0.3675,29781,-0.9569
2301,光寶科       ,20000808,52,52.5,50.5,51,7659,392917,-1.9231,1.3373,29208,-1.9418
2301,光寶科       ,20000809,51,53.5,51,53.5,9069,474893,4.902,1.5835,30640,4.7856
2301,光寶科       ,20000810,53.5,56,53,54.5,13860,757044,1.8692,2.42,31213,1.8519
2301,光寶科       ,20000811,54.5,55.5,53.5,53.5,5102,277589,-1.8349,0.8908,30640,-1.8519
2301,光寶科       ,20000814,53.5,54,52.5,52.5,3010,160241,-1.8692,0.5256,30068,-1.8868
2301,光寶科       ,20000815,53,53.5,52,52,2921,153402,-0.9524,0.51,29781,-0.9569
2301,光寶科       ,20000816,53,54.5,52,54,4345,232672,3.8462,0.7587,30927,3.774
2301,光寶科       ,20000817,54.5,56.5,53.5,55.5,11591,639770,2.7778,2.0238,31786,2.7399
2301,光寶科       ,20000818,56,57.5,55,55,9290,524524,-0.9009,1.6221,31499,-0.905
2301,光寶科       ,20000819,56,56,54.5,56,3697,204940,1.8182,0.6455,32072,1.8019
2301,光寶科       ,20000821,56,59.5,56,59.5,11233,656599,6.25,1.9613,34077,6.0625
2301,光寶科       ,20000822,61,62,59,59,25384,1532512,-0.8403,4.4322,33790,-0.8439
2301,光寶科       ,20000824,60,60.5,58,58,8371,496830,-1.6949,1.4616,33217,-1.7094
2301,光寶科       ,20000825,58.5,58.5,56.5,57,4932,282087,-1.7241,0.8611,32645,-1.7392
2301,光寶科       ,20000828,57.5,58,56,56.5,5025,285747,-0.8772,0.8774,32358,-0.8811
2301,光寶科       ,20000829,56,58.5,56,58.5,6427,366966,3.5398,1.1222,33504,3.4786
2301,光寶科       ,20000830,58.5,58.5,54.5,54.5,4904,278698,-6.8376,0.8563,31213,-7.0826
2301,光寶科       ,20000831,55,58,55,57.5,11534,659683,5.5046,2.0139,32931,5.3584
2301,光寶科       ,20000901,58,58.5,56,57,8723,501292,-0.8696,1.5231,32645,-0.8734
2301,光寶科       ,20000902,57,59.5,57,59,9406,551127,3.5088,1.6423,33790,3.4486
2301,光寶科       ,20000904,59.5,61.5,58,60.5,14818,891594,2.5424,2.5873,34649,2.5106
2301,光寶科       ,20000905,61,61,58,58.5,5601,332578,-3.3058,0.978,33504,-3.3617
2301,光寶科       ,20000906,58.5,59.5,57,57,6338,371046,-2.5641,1.1066,32645,-2.5975
2301,光寶科       ,20000907,56.5,57.5,55.5,57.5,5106,288963,0.8772,0.8915,32931,0.8734
2301,光寶科       ,20000908,58.5,59,56,56.5,4750,271190,-1.7391,0.8294,32358,-1.7544
2301,光寶科       ,20000911,55,56,53.5,53.5,4475,244674,-5.3097,0.7814,30640,-5.4559
2301,光寶科       ,20000913,53.5,56,53,55.5,5135,278754,3.7383,0.8966,31786,3.6701
2301,光寶科       ,20000914,55.5,55.5,52.5,52.5,3595,194759,-5.4054,0.6261,30145,-5.557
2301,光寶科       ,20000915,53.5,55,52,52.5,5604,300155,0,0.976,30145,0
2301,光寶科       ,20000916,52.5,53.5,52,53,5485,288475,0.9524,0.9552,30432,0.9479
2301,光寶科       ,20000918,53,53.5,50,51,4074,211813,-3.7736,0.7095,29284,-3.8466
2301,光寶科       ,20000919,50,51,47.5,47.5,8275,403869,-6.8627,1.4411,27274,-7.1096
2301,光寶科       ,20000920,45.5,47.5,44.2,44.6,21612,968233,-6.1053,3.7639,25609,-6.2996
2301,光寶科       ,20000921,44.6,45,41.5,43.2,17281,753551,-3.139,3.0096,24805,-3.1893
2301,光寶科       ,20000922,40.5,42.1,40.2,40.2,6777,276718,-6.9444,1.1803,23082,-7.1973
2301,光寶科       ,20000925,38.5,40.1,37.4,37.4,9055,344968,-6.9652,1.577,21475,-7.2196
2301,光寶科       ,20000926,35.5,38.7,34.8,38.7,20810,762908,3.4759,3.6242,22221,3.4169
2301,光寶科       ,20000927,38.6,41.4,37.9,39.6,22389,898417,2.3256,3.8992,22738,2.299
2301,光寶科       ,20000928,40,40.6,38.5,38.6,11588,460796,-2.5253,2.0181,22164,-2.5577
2301,光寶科       ,20000929,39.3,39.5,36,36.9,8384,318547,-4.4041,1.4601,21187,-4.5041
2301,光寶科       ,20000930,34.5,35,34.4,34.4,6239,215125,-6.7751,1.0866,19752,-7.0155
2301,光寶科       ,20001002,34.1,34.9,32,32,6453,214755,-6.9767,1.1238,18374,-7.2321
2301,光寶科       ,20001003,30,31.1,29.8,29.8,11382,342005,-6.875,1.9822,17111,-7.1228
2301,光寶科       ,20001004,28.8,28.8,28.8,28.8,145,4196,-3.3557,0.0253,16536,-3.4133
2301,光寶科       ,20001005,27.8,27.8,27.8,27.8,1226,34094,-3.4722,0.2135,15962,-3.5339
